date_CSH2169;CSH2169 BZ Equity;date_AMARAUR;AMARAUR BZ Equity;date_HPRFIC;HPRFIC BZ Equity;date_JULBGEN;JULBGEN BZ Equity;date_LEGCAPF;LEGCAPF BZ Equity;date_KPZETAF;KPZETAF BZ Equity;date_LSSTLS;LSSTLS BZ Equity;date_APXEQHF;APXEQHF BZ Equity;date_LSPLFIA;LSPLFIA BZ Equity;date_KADFIML;KADFIML BZ Equity;date_DIDOLFI;DIDOLFI BZ Equity;date_QUAADCP;QUAADCP BZ Equity;date_NWCSHST;NWCSHST BZ Equity;date_BEMFIRD;BEMFIRD BZ Equity
13/07/2021;1,23896;31/03/2021;1,1477994;06/06/2019;18,693004;;;14/04/2021;1,33231832;06/06/2019;3,833594;06/06/2019;187,117978;06/06/2019;2,426983;30/09/2019;1,420983;06/06/2019;4,107865;06/06/2019;3,170147;05/01/2021;1,10627684;06/06/2019;128,719965;06/06/2019;2,93886
14/07/2021;1,238076;01/04/2021;1,1474981;07/06/2019;18,822941;;;15/04/2021;1,33285963;07/06/2019;3,851217;07/06/2019;187,901088;07/06/2019;2,430186;01/10/2019;1,422819;07/06/2019;4,119955;07/06/2019;3,190119;06/01/2021;1,10638923;07/06/2019;128,750304;07/06/2019;2,939572
15/07/2021;1,2329207;05/04/2021;1,1499475;10/06/2019;18,867442;;;16/04/2021;1,33659513;10/06/2019;3,853318;10/06/2019;188,066734;10/06/2019;2,431569;02/10/2019;1,422007;10/06/2019;4,115922;10/06/2019;3,182115;07/01/2021;1,10625945;10/06/2019;128,780782;10/06/2019;2,940287
16/07/2021;1,2326382;06/04/2021;1,1490888;11/06/2019;18,997512;;;19/04/2021;1,33738297;11/06/2019;3,869399;11/06/2019;188,082482;11/06/2019;2,432942;03/10/2019;1,424669;11/06/2019;4,137172;11/06/2019;3,214219;08/01/2021;1,10642947;11/06/2019;128,811697;11/06/2019;2,940999
19/07/2021;1,2181018;07/04/2021;1,1500013;12/06/2019;18,975662;;;20/04/2021;1,3303802;12/06/2019;3,856551;12/06/2019;188,440868;12/06/2019;2,430845;04/10/2019;1,426504;12/06/2019;4,11937;12/06/2019;3,18894;11/01/2021;1,10632994;12/06/2019;128,842138;12/06/2019;2,941712
20/07/2021;1,2228848;08/04/2021;1,1498821;13/06/2019;19,077449;;;22/04/2021;1,33328125;13/06/2019;3,878122;13/06/2019;189,560664;13/06/2019;2,44781;07/10/2019;1,425776;13/06/2019;4,124299;13/06/2019;3,198931;12/01/2021;1,10672214;13/06/2019;128,872787;13/06/2019;2,942426
21/07/2021;1,2308364;09/04/2021;1,1512377;14/06/2019;19,107381;;;23/04/2021;1,33809085;14/06/2019;3,855796;14/06/2019;189,406304;14/06/2019;2,449223;08/10/2019;1,422329;14/06/2019;4,12793;14/06/2019;3,203633;13/01/2021;1,10661414;14/06/2019;128,903368;14/06/2019;2,94314
22/07/2021;1,2328524;12/04/2021;1,1505218;17/06/2019;19,041366;;;26/04/2021;1,33998068;17/06/2019;3,847862;17/06/2019;190,263191;17/06/2019;2,452855;09/10/2019;1,423386;17/06/2019;4,119318;17/06/2019;3,193564;14/01/2021;1,10693047;17/06/2019;128,93503;17/06/2019;2,943854
23/07/2021;1,2298491;13/04/2021;1,1498914;18/06/2019;19,084865;;;27/04/2021;1,34082423;18/06/2019;3,87732;18/06/2019;190,164536;18/06/2019;2,452484;10/10/2019;1,423946;18/06/2019;4,110203;18/06/2019;3,178836;15/01/2021;1,10695895;18/06/2019;128,965527;18/06/2019;2,944567
26/07/2021;1,2303793;14/04/2021;1,1515203;19/06/2019;19,149963;;;28/04/2021;1,34590093;19/06/2019;3,894389;19/06/2019;189,662775;19/06/2019;2,457798;11/10/2019;1,426643;19/06/2019;4,108455;19/06/2019;3,176647;18/01/2021;1,10719249;19/06/2019;128,995754;19/06/2019;2,945282
