;paiva;ibov;;;
22/05/2015;1,650768;54377,3;-1,172979973;;
22/05/2015;1,650768;54377,3;-1,172979973;;
22/05/2015;1,650768;54377,3;-1,172979973;;
22/05/2015;1,650768;54377,3;-1,172979973;;
25/05/2015;1,650846;54609,3;-1,168310323;;
25/05/2015;1,650846;54609,3;-1,168310323;;
25/05/2015;1,650846;54609,3;-1,168310323;;
25/05/2015;1,650846;54609,3;-1,168310323;;
26/05/2015;1,640872;53629,8;-1,765426755;;
26/05/2015;1,640872;53629,8;-1,765426755;;
26/05/2015;1,640872;53629,8;-1,765426755;;
26/05/2015;1,640872;53629,8;-1,765426755;;
27/05/2015;1,648605;54236,3;-1,302472938;;
27/05/2015;1,648605;54236,3;-1,302472938;;
27/05/2015;1,648605;54236,3;-1,302472938;;
27/05/2015;1,648605;54236,3;-1,302472938;;
28/05/2015;1,647831;53976,3;-1,348810227;;
28/05/2015;1,647831;53976,3;-1,348810227;;
28/05/2015;1,647831;53976,3;-1,348810227;;
28/05/2015;1,647831;53976,3;-1,348810227;;
29/05/2015;1,631408;52760,5;-2,332010865;;
29/05/2015;1,631408;52760,5;-2,332010865;;
29/05/2015;1,631408;52760,5;-2,332010865;;
29/05/2015;1,631408;52760,5;-2,332010865;;
01/06/2015;1,637891;53031,3;-1,943891171;;
01/06/2015;1,637891;53031,3;-1,943891171;;
01/06/2015;1,637891;53031,3;-1,943891171;;
01/06/2015;1,637891;53031,3;-1,943891171;;
02/06/2015;1,650277;54236,4;-1,202374816;;
02/06/2015;1,650277;54236,4;-1,202374816;;
02/06/2015;1,650277;54236,4;-1,202374816;;
02/06/2015;1,650277;54236,4;-1,202374816;;
03/06/2015;1,64606;53522,9;-1,454835212;;
03/06/2015;1,64606;53522,9;-1,454835212;;
03/06/2015;1,64606;53522,9;-1,454835212;;
03/06/2015;1,64606;53522,9;-1,454835212;;
04/06/2015;1,64606;53522,9;-1,454835212;;
04/06/2015;1,64606;53522,9;-1,454835212;;
04/06/2015;1,64606;53522,9;-1,454835212;;
04/06/2015;1,64606;53522,9;-1,454835212;;
05/06/2015;1,638199;52973,4;-1,925452043;;
05/06/2015;1,638199;52973,4;-1,925452043;;
05/06/2015;1,638199;52973,4;-1,925452043;;
05/06/2015;1,638199;52973,4;-1,925452043;;
08/06/2015;1,639612;52809,6;-1,840859551;;
08/06/2015;1,639612;52809,6;-1,840859551;;
08/06/2015;1,639612;52809,6;-1,840859551;;
08/06/2015;1,639612;52809,6;-1,840859551;;
09/06/2015;1,635547;52816;-2,084220118;;
09/06/2015;1,635547;52816;-2,084220118;;
09/06/2015;1,635547;52816;-2,084220118;;
09/06/2015;1,635547;52816;-2,084220118;;
10/06/2015;1,647904;53876,4;-1,344439914;;
10/06/2015;1,647904;53876,4;-1,344439914;;
10/06/2015;1,647904;53876,4;-1,344439914;;
10/06/2015;1,647904;53876,4;-1,344439914;;
11/06/2015;1,641215;53688,5;-1,744892272;;
11/06/2015;1,641215;53688,5;-1,744892272;;
11/06/2015;1,641215;53688,5;-1,744892272;;
11/06/2015;1,641215;53688,5;-1,744892272;;
12/06/2015;1,638096;53347,5;-1,931618375;;
12/06/2015;1,638096;53347,5;-1,931618375;;
12/06/2015;1,638096;53347,5;-1,931618375;;
12/06/2015;1,638096;53347,5;-1,931618375;;
15/06/2015;1,636771;53137,5;-2,010942545;;
15/06/2015;1,636771;53137,5;-2,010942545;;
15/06/2015;1,636771;53137,5;-2,010942545;;
15/06/2015;1,636771;53137,5;-2,010942545;;
16/06/2015;1,639926;53702,2;-1,822061219;;
16/06/2015;1,639926;53702,2;-1,822061219;;
16/06/2015;1,639926;53702,2;-1,822061219;;
16/06/2015;1,639926;53702,2;-1,822061219;;
17/06/2015;1,633924;53248,5;-2,181384743;;
17/06/2015;1,633924;53248,5;-2,181384743;;
17/06/2015;1,633924;53248,5;-2,181384743;;
17/06/2015;1,633924;53248,5;-2,181384743;;
18/06/2015;1,643423;54238,6;-1,612705277;;
18/06/2015;1,643423;54238,6;-1,612705277;;
18/06/2015;1,643423;54238,6;-1,612705277;;
18/06/2015;1,643423;54238,6;-1,612705277;;
19/06/2015;1,643547;53749,4;-1,605281733;;
19/06/2015;1,643547;53749,4;-1,605281733;;
19/06/2015;1,643547;53749,4;-1,605281733;;
19/06/2015;1,643547;53749,4;-1,605281733;;
22/06/2015;1,648758;53863,7;-1,293313242;;
22/06/2015;1,648758;53863,7;-1,293313242;;
22/06/2015;1,648758;53863,7;-1,293313242;;
22/06/2015;1,648758;53863,7;-1,293313242;;
23/06/2015;1,649227;53772,4;-1,265235479;;
23/06/2015;1,649227;53772,4;-1,265235479;;
23/06/2015;1,649227;53772,4;-1,265235479;;
23/06/2015;1,649227;53772,4;-1,265235479;;
24/06/2015;1,646747;53842,5;-1,413706378;;
24/06/2015;1,646747;53842,5;-1,413706378;;
24/06/2015;1,646747;53842,5;-1,413706378;;
24/06/2015;1,646747;53842,5;-1,413706378;;
25/06/2015;1,642102;53175,7;-1,691789978;;
