,paiva,ibov
,PX_LAST,PX_LAST
Date,,
2015-09-17,1.604731,48551.1
2015-09-17,1.604731,48551.1
2015-09-17,1.604731,48551.1
2015-09-17,1.604731,48551.1
2015-09-18,1.578897,47264.1
2015-09-18,1.578897,47264.1
2015-09-18,1.578897,47264.1
2015-09-18,1.578897,47264.1
2015-09-21,1.572006,46590.2
2015-09-21,1.572006,46590.2
2015-09-21,1.572006,46590.2
2015-09-21,1.572006,46590.2
2015-09-22,1.566097,46264.6
2015-09-22,1.566097,46264.6
2015-09-22,1.566097,46264.6
2015-09-22,1.566097,46264.6
2015-09-23,1.552022,45340.1
2015-09-23,1.552022,45340.1
2015-09-23,1.552022,45340.1
2015-09-23,1.552022,45340.1
2015-09-24,1.548357,45292.0
2015-09-24,1.548357,45292.0
2015-09-24,1.548357,45292.0
2015-09-24,1.548357,45292.0
2015-09-25,1.542946,44831.5
2015-09-25,1.542946,44831.5
2015-09-25,1.542946,44831.5
2015-09-25,1.542946,44831.5
2015-09-28,1.526091,43956.6
2015-09-28,1.526091,43956.6
2015-09-28,1.526091,43956.6
2015-09-28,1.526091,43956.6
2015-09-29,1.535869,44131.8
2015-09-29,1.535869,44131.8
2015-09-29,1.535869,44131.8
2015-09-29,1.535869,44131.8
2015-09-30,1.548677,45059.3
2015-09-30,1.548677,45059.3
2015-09-30,1.548677,45059.3
2015-09-30,1.548677,45059.3
2015-10-01,1.553924,45313.3
2015-10-01,1.553924,45313.3
2015-10-01,1.553924,45313.3
2015-10-01,1.553924,45313.3
2015-10-02,1.580593,47033.5
2015-10-02,1.580593,47033.5
2015-10-02,1.580593,47033.5
2015-10-02,1.580593,47033.5
2015-10-05,1.588193,47598.1
2015-10-05,1.588193,47598.1
2015-10-05,1.588193,47598.1
2015-10-05,1.588193,47598.1
2015-10-06,1.594124,47735.1
2015-10-06,1.594124,47735.1
2015-10-06,1.594124,47735.1
2015-10-06,1.594124,47735.1
2015-10-07,1.608868,48914.3
2015-10-07,1.608868,48914.3
2015-10-07,1.608868,48914.3
2015-10-07,1.608868,48914.3
2015-10-08,1.614231,49106.6
2015-10-08,1.614231,49106.6
2015-10-08,1.614231,49106.6
2015-10-08,1.614231,49106.6
2015-10-09,1.617157,49338.4
2015-10-09,1.617157,49338.4
2015-10-09,1.617157,49338.4
2015-10-09,1.617157,49338.4
2015-10-12,1.617157,49338.4
2015-10-12,1.617157,49338.4
